Mês,Fase,Clientes_Novos,Clientes_Total,Receita_Mensal_USD,MRR_USD,Churn_Rate_%,CAC_USD,LTV_USD,NPS,CSAT_%,Uptime_%,Lead_Conversion_%,Margem_Liquida_%,Mercados_Ativos
1,Fundação,1,1,1000,800,0,1000,5000,30,85,95,5,30,1
2,Fundação,1,2,3000,2400,0,800,5000,35,88,98,8,40,1
3,Fundação,3,5,8000,6400,0,600,5000,40,90,99,12,50,1
4,Validação,3,8,12000,9600,5,550,5200,45,91,99.2,15,60,1
5,Validação,4,12,16000,12800,3,500,5400,50,92,99.5,18,65,1
6,Validação,6,18,20000,16000,2,450,5600,55,93,99.7,20,70,1
7,Expansão,4,22,25000,20000,3,500,5800,50,91,99.5,18,68,2
8,Expansão,6,28,30000,24000,4,520,6000,52,92,99.6,19,70,2
9,Expansão,8,36,40000,32000,3,480,6200,55,93,99.7,22,72,3
10,Expansão,10,46,50000,40000,2,450,6400,58,94,99.8,25,74,3
11,Expansão,12,58,60000,48000,2,420,6600,60,95,99.8,28,75,3
12,Expansão,14,72,70000,56000,3,400,6800,62,95,99.9,30,76,3
13,Consolidação,16,88,80000,64000,2,380,7000,65,96,99.9,32,77,4
14,Consolidação,18,106,90000,72000,2,360,7200,67,96,99.9,34,78,4
15,Consolidação,20,126,100000,80000,2,350,7400,70,97,99.9,35,79,4
16,Escala,22,148,110000,88000,2,340,7600,72,97,99.9,36,80,4
17,Escala,24,172,120000,96000,2,330,7800,74,98,99.9,37,81,4
18,Escala,26,198,130000,104000,2,320,8000,75,98,99.9,38,82,4

